,hip_name,sy_pnum,st_spectype
517,17047,3,F7/F8V
518,19950,1,K1/2 V
519,73427,2,K V
520,7562,2,F6
521,80824,3,M3.5
522,67285,1,K3.5 V
523,5643,3,M4.5
524,21421,1,K5 III
525,40526,1,K4 III
526,72607,1,K4 III
527,78159,1,K2 III
528,16537,1,K2 V
529,108870,1,K2 V
530,20889,1,K0 III
531,116727,1,K1 IV
532,76333,2,K0 III
533,75458,2,K2 III
534,116805,1,B9 IV
535,77655,1,K0 III-IV
536,48455,1,K2 III
537,107089,1,K0 III
538,88048,2,K0 III
539,77578,1,G8 III
540,75049,1,K0 III
541,41704,1,G4 II-III
542,86620,1,G0 V
543,78459,4,G0 V
544,67275,1,F7 V
545,34693,1,K2 III
546,7513,3,F8 V
547,97938,1,K0 III
